,,,,,,
#,Title,Article Link,Contributor,Type,Notes,
11,AI ethics and values,https://www.philstar.com/business/2024/06/30/2366495/ai-ethics-and-values,Dan,News Article,,
12,Making AI great again: how do we design ethical AI systems?,https://www.wired.com/sponsored/story/making-ai-great-again-how-do-we-design-ethical-ai-systems/,Ned,News Article,"Making AI great again: how do we design ethical AI systems?
The debate around how AI will shape our future is ongoing, and it is already affecting our present. Accenture investigates how issues around ethics and regulation are becoming increasingly urgent.

Making AI great again how do we design ethical AI systems
ARTIFICIAL INTELLIGENCE IS a powerful agent of change in our society. The debate around how AI will shape our future is ongoing, but one thing is certain: it is already affecting our present – altering the way we work, entertain ourselves and interact with others. As this technology catches on, changing the way we understand ourselves and our society, issues around ethics and regulation are becoming more and more pressing – and increasingly debated.

As designers and developers of AI systems, we need to bridge the gap between data technology and human experience. Addressing fairness, accountability and the long-term effects on our society when designing with data will allow us to contribute to the society we want, fostering higher levels of cognitive and emotional skills.

Designing collaboration between people and AI
With advances in AI technology, even jobs once regarded as necessarily requiring human knowledge and experience – doctors, lawyers, teachers, financial advisers, business consultants – will end up being affected by automation.

It therefore becomes crucial to identify the best ways to work with machines that advance our cognitive and emotional skills. We already know that in combination, people and machines are more effective than either alone. The 2016 White House report on preparing for the future of AI highlighted a study comparing human and machine in relation to diagnosing cancerous lymph nodes. The AI “doctor” had an error rate of 7.5 per cent; the human had an error rate of 3.5 per cent. Together, though, their error rate fell to just 0.5 per cent.

This suggests that, regardless of widespread automation of data collection and analysis processes, we still need that human touch. A doctor working with AI might be able to diagnose more accurately than ever. And, importantly, only a flesh-and-blood doctor can show the compassion and understanding patients crave when receiving a diagnosis or discussing treatment options.

Research into emotionally aware AI is underway, and eventually we will have systems that can sense whether we are worried or angry, and configure their responses appropriately. When cyborg systems become reality instead of fiction, with humans and machines working side by side, we need to keep in mind that there are intangible benefits to our interactions with other humans. But, just because we can create an AI doctor with a tolerable bedside manner, does it mean we should?

In a way, automation may ultimately help us become more human. We will begin to place more value on characteristics such as empathy and social awareness, as opposed to analytical thinking. Our education and training may change to reflect this, with focus shifting to communication and how we interact with others as opposed to the computer-based analytical work that is often the norm today.

A shared responsibility – to society and ourselves
AI systems are intrinsically tied to human biases; you may have already heard the highly publicised cases of AI systems reflecting our ugly human prejudices, from Google Photos’ racially biased tagging system to Microsoft Tay’s offensive behaviour on Twitter. We know that we need to design our systems to account for human biases in data and be more explainable to facilitate trust. That is not only needed to avoid another PR nightmare for large corporations; it is about designing AI that reflects and evolves with our vision for a fairer and more ethical society.

In the design world, we talk about being human-centric – researching and interviewing our users to create services that address their true needs. However, looking back at the changes AI has brought about in our lives, our processes need to shift from a traditional individual user-centric approach to include humanity and society on a larger scale. We’re designing our AI systems for an ideal future world – what should that look like, and what are the problems we’ll encounter trying to get there?

A new way of talking about AI
Designing AI in line with ethical behaviour and societal responsibility in mind is only part of the solution – we also need to change the way we talk about AI.

Paradoxically, we perceive AI systems as cold and lacking in humanity. Even here I’ve talked about needing a more humanity-centred approach to AI – but when something goes wrong, we default to blaming the system, framing AI in a very human way. The media suggests that AI is “out to get us”, and systems have been dubbed as racist and sexist – two inherently human traits. This deflection of responsibility is dangerous, and suggesting that an unconscious system has evil intentions is irresponsible and scare-mongering.

We need to stop framing AI as an evil genius that will take our jobs and eventually ruin humankind, and start talking about it in a way that reflects reality as it is: AI is simply a tool. If a light bulb exploded, we wouldn’t say it was “out to get us”, deferring responsibility from people and putting it on the once very novel technology of electricity. It is simply an exploding light bulb, and there is no reason we should talk about AI technology differently. We need a change in tone aimed at promoting a mindset of accountability for what we create. This, along with actively applying frameworks for responsibility when designing AI applications to be used by businesses or governments, will help us place responsibility back on the people in the system.

Technology should be a positive force in our lives, enabling us to do things that were once unimaginable and making us better humans. Earlier this month at Web Summit, Stephen Hawking commented that the rise of AI could be “the worst or the best thing that has happened for humanity.” I think we can all agree: it is our responsibility – as designers, developers, governments, businesses and, ultimately, humans and members of society – to ensure it is the latter.

Jivan Virdee is a data designer at Fjord, with a background in data science and an interest in building adaptable, human-centric data-driven experiences

--

During WIRED Live 2017, Accenture and Fjord ran a Live Innovation looking at the ethics of AI and how we can address the consequences of badly designed AI, to co-create an AI ethics manifesto. Take a look at the result here.

This article was originally published by WIRED UK",
13,A pink slime site used AI to rewrite our AI ethics article,https://www.poynter.org/ethics-trust/2024/a-pink-slime-site-used-ai-to-rewrite-our-ai-ethics-article/,Ned,News Article,"A pink slime site used AI to rewrite our AI ethics article
Even Poynter’s guide for using generative AI ethically isn’t immune from those who won’t.
   
Hours after Poynter released its AI ethics guide, a near-identical article appeared on a sketchy website. It was likely written by artificial intelligence.

The piece, filed in Tech Gate by an alleged human named Bourbiza Mohamed — who racks up bylines on stories about video games, Bitcoin and NASA every five minutes or so — was published four hours after Poynter’s story. It had Poynter’s art and logo, and followed the same structure as Kelly McBride’s article, but nearly every sentence was rewritten with peculiar word choices.

For example, the Tech Gate article says:

“Consider of it (sic) like a meals prep package. A lot of the function is completed, however you even now must roll up your sleeves and perform a little little (sic) bit of labor.”

Compare that to McBride’s piece:

“Think of it like a meal prep kit. Most of the work is done, but you still have to roll up your sleeves and do a bit of labor.”

Tech Gate’s about me page is vague and lacks any contact information. It says the site launched in 2007, but the site’s earliest archive in the Wayback Machine is from 2015 — and is written in Arabic.

Even an article about the ethical use of AI isn’t immune from bad actors who will use the technology unethically. In this case, the site likely steals content for easy advertising revenue.

Tech Gate is a pink slime news site, a website masquerading as a news source that is filled with poor-quality reporting (usually no reporting) or AI-generated articles and that may be used by political operatives to launder opinion pieces.

Last year, I spoke with Charlie Melvin, publisher of the Richmond Observer, who showed me a pink slime site doing the same thing with his organization’s local stories. He worried that at scale, AI would cheapen the value of original content — since it could be easily plagiarized on networks of sketchy websites.

This episode highlights a few challenges for news outlets. One: How can you compete with unethical outlets in the age of generative AI? And two: How do I protect my intellectual property?

While I can’t fully answer either, I can say that this curious case shows that AI will be used increasingly to feed the online content beast — ethically or not. The only way you can compete is by experimenting with and implementing generative AI in your newsroom. AI is coming for your content, and this industry.

I hope Poynter’s AI ethics guide — and not Tech Gate’s Dollar Store knockoff — can expand your shop’s resources to fight back against the rise of AI slime.",
14,6 Critical – And Urgent – Ethics Issues With AI,https://www.forbes.com/sites/eliamdur/2024/01/24/6-critical--and-urgent--ethics-issues-with-ai/,Rhea,News Article,"6 Critical – And Urgent – Ethics Issues With AI
Eli Amdur
Contributor
Leadership professor, job market journalist-analyst, business advisor.
Jan 24, 2024,11:50am EST
Code of Ethics in Technology as a Business ConceptGETTY
There is no doubt in most people’s minds that AI is one of the most transformative technologies of our time. There is no doubt in mine that it is the most transformative technology ever.

The “of our time” position has been borne out already. By the end of 2024, my “ever” position will likely be validated as well.

AI has lost no time in unfolding its immense potential to improve efficiency, aid research and discovery, enhance decision-making, and solve complex problems – all at a blinding rate of acceleration. It is precisely this rate of acceleration that’s propelling the future towards us faster than ever before, the reason I believe that will lead us to the conclusion this year that AI will have surpassed all other advances ever made.

The cold, hard truth
Given AI’s potential to be a more powerful positive force than any other in history, it stands to reason that it will have the same possibility on the negative side of the equation, as it’s been with every other invention or discovery ever. This also raises significant ethical concerns that demand our attention and thoughtful consideration.

So I did an informal poll of six experts with lots of AI experience – as practitioners and as academics – and asked them, simply, what we should be worried about. How, I asked them, should we and could we ensure that AI systems act ethically? On six issues, here’s their collective thinking.

MORE FROMFORBES ADVISOR
Best High-Yield Savings Accounts Of September 2023
ByKevin PayneContributor
Best 5% Interest Savings Accounts of September 2023
ByCassidy HortonContributor
1. Data Bias
One of the foremost ethical concerns surrounding AI is data bias. AI systems are only as good as the data they’re trained on, so objective data curation becomes paramount. Thus, developers and researchers must prioritize and standardize rigorous testing and continuous monitoring.

2. Privacy
As AI systems become more sophisticated and far reaching in data collection and analysis, the line between security and surveillance blurs. From facial recognition to smart home devices, the potential for invasions of privacy, not to mention election tampering and corporate hacking, is ominous.

3. Accountability
As AI systems make more decisions that impact our lives, it becomes more critical to establish clear lines of responsibility. Who should be held accountable when an autonomous vehicle makes a mistake? Or when healthcare diagnoses are made and decisions about medications or therapies are carried out? This applies in the legal arena, too.

4. Job Displacement
New technologies inevitably lead to job losses in old industries but even greater job creation in new ones. Seamless transition from old to new industries depends on a four-part coalition among: the individuals who need the jobs, the employers who will offer them, higher education that will develop a skilled workforce, and government that will fund this. At the same time, must be remembered that, over the last three years, progress has been made to shrink the income and wealth gap, ground tht has been gained and that cannot be relinquished. This is nothing less than an issue of national interest.

5. Transparency
All AI stakeholders – producers, educators, users, and casual observers – deserve to have a clear understanding of how AI systems make decisions. Algorithms are just as easily sinister as they are life supporting, making scrutiny a key factor.

6. What’s Ahead?
We’re nowhere near the development of superintelligent AI – the 800-pound gorilla in the room – but we’re closer than we think, as the rate of acceleration comes into play. As we move closer to creating AI systems that surpass human intelligence, questions about their control and alignment with human values come to the fore. If you haven’t seen the film 2001: A Space Odyssey yet, do not wait any longer. Safeguards must be in place to prevent AI from evolving in ways that could threaten humanity. We can start by defaulting to Isaac Asimov’s Three Laws of Robotics, a good place for me to end this essay and implore you to look it up and continue from there.",
15,Google Splits Up a Key AI Ethics Watchdog,https://www.wired.com/story/google-splits-up-responsible-innovation-ai-team/,Ned,News Article,"Google Splits Up a Key AI Ethics Watchdog
A crucial team at Google that reviewed new AI products for compliance with its rules for responsible AI development faces an uncertain future after its leader departed this month.
Red green yellow and blue hexagonal wooden blocks in a messy pile on a yellow background
PHOTOGRAPH: JAVIER ZAYAS PHOTOGRAPHY/GETTY IMAGES

WHEN GOOGLE CEO Sundar Pichai emailed his workers the company priorities for 2024 this month, developing AI responsibly was top of the list. Some employees now wonder whether Google can live up to that goal. The small team that has served as its primary internal AI ethics watchdog has lost its leader and is being restructured, according to four people familiar with the changes. A Google spokesperson says its work will continue in a stronger form going forward, but declined to provide details.

Google’s Responsible Innovation team, known as RESIN, was located inside the Office of Compliance and Integrity, in the company’s global affairs division. It reviewed internal projects for compatibility with Google’s AI principles that define rules for development and use of the technology, a crucial role as the company races to compete in generative AI. RESIN conducted over 500 reviews last year, including for the Bard chatbot, according to an annual report on AI principles work Google published this month.

RESIN’s role has looked uncertain since its leader and founder Jen Gennai, director of responsible innovation, suddenly left that role this month, say the sources, who spoke on the condition of anonymity to discuss personnel changes. Gennai’s LinkedIn profile lists her as an AI ethics and compliance adviser at Google as of this month, which sources say suggests she will soon leave based on how past departures from the company played out.

FEATURED VIDEO


Google Gemini Music Demo

Google split Gennai’s team of about 30 people into two, according to the sources. Company spokesperson Brian Gabriel says 10 percent of RESIN staffers will remain in place while 90% of the team were transferred to trust and safety, which fights abuse of Google services and also resides in the global affairs division. No one appears to have been laid off, sources say. The rationale for the changes and how responsibilities will be broken up couldn’t be learned. Some of the sources say they have not been told how AI principles reviews will be handled going forward.

Gabriel declined to say how RESIN’s work reviewing AI projects will be handled in the future but describes the shakeup as a signal of Google’s commitment to responsible AI development. The move “brought this particular Responsible AI team to the center of our well-established trust and safety efforts, which are baked into our product reviews and plans,” he says. “It will help us strengthen and scale our responsible innovation work across the company.”

Got a Tip?
Are you a current or former employee at Google? We’d like to hear from you. Using a nonwork phone or computer, contact Paresh Dave at paresh_dave@wired.com or on Signal/WhatsApp/Telegram at 1-415-565-1302.
Google is known for frequently reshuffling its ranks but RESIN had largely been untouched since the group’s founding. Though other teams, and hundreds of additional people, work on AI oversight at Google, RESIN was the most prominent, with a remit covering all Google’s core services.

In addition to the departure of its leader, Gennai, RESIN also saw one of its most influential members, Sara Tangdall, lead AI principles ethics specialist, leave this month. She is now responsible AI product director at Salesforce, according to her LinkedIn profile. Tangdall declined to comment and Gennai didn’t respond to calls for comment.

AI Uprising
Google created its Responsible Innovation team in 2018 not long after AI experts and others at the company publicly rose up in protest against a Pentagon contract called Project Maven that used Google algorithms to analyze drone surveillance imagery. RESIN became the core steward of a set of AI principles introduced after the protests, which say Google will use AI to benefit people, and never for weapons or undermining human rights. Gennai helped author the principles.

Teams from across Google could submit projects for review by RESIN, which provided feedback and sometimes blocked ideas seen as breaching the AI principles. The group stopped the release of AI image generators and voice synthesis algorithms that could be used to create deepfakes.

Seeking AI principles guidance is not mandatory for most teams, unlike reviews for privacy risks, which every project must undergo. But Gennai has said early reviews of AI systems pay off by preventing costly ethical breaches. “If implemented properly, Responsible AI makes products better by uncovering and working to reduce the harm that unfair bias can cause, improving transparency and increasing security,” she said during a Google conference in 2022.

That same year, RESIN moved into the global affairs division’s compliance unit. Google described the change in an annual report on AI principles work as ensuring “more centralized governance across all Google product areas,” but some team members feared it would tilt RESIN’s work more toward protecting Google than preventing harm to consumers.

As Google fights for positioning in a new AI boom and an era where some consumers are turning to TikTok or ChatGPT instead of Google Search, some employees now worry product development could become dangerously hasty. The restructuring of RESIN has increased those concerns, the sources say.

Google has spent the past year laying off thousands of workers and streamlining its operations to more quickly deliver advances to users and focus around a few AI initiatives. It has moved to shut down services, including its Podcasts app, and cut features from Google Assistant. The ad sales that fund its sprawling pursuits have grown less reliably in the post-pandemic economy and been trimmed by new regulations and court orders on privacy and anticompetitive behavior.

Pichai and other Google leaders have said they can accelerate AI development while still being responsible about its potential dangers. Google last year joined OpenAI, Microsoft, and several other big AI developers in joining a voluntary White House pledge to assess societal risks and national security concerns related to advanced AI.

RESIN is not the only group inside Google to have been disrupted as the company scrambles to compete in generative AI. Last year the company merged UK-based AI lab DeepMind into its primary research team, Google Brain, to unify development of the so-called foundational models that underpin tools such as Bard under a new entity called Google DeepMind.

As part of that change, ethical reviews for Google’s most advanced AI models, such as the recently released Gemini, fall not to RESIN but to Google DeepMind’s Responsibility and Safety Council, according to a technical paper published last month. RESIN has already left a mark on Google’s generative AI products, a company report says, such as by triggering a decision to limit Bard from using personal pronouns to try to avoid users treating it like a human. What role the company’s long-established AI watchdog will play on future developments is unclear.",
16,"Tech firms failing to ‘walk the walk’ on ethical AI, report says",https://www.aljazeera.com/news/2023/12/8/tech-firms-failing-to-walk-the-walk-on-ethical-ai-report-says,Rhea,News Article,,
17,An AI-generated image of a Victorian MP raises wider questions on digital ethics,https://www.abc.net.au/news/2024-02-01/georgie-purcell-ai-image-nine-news-apology-digital-ethics/103408440,Ned,News Article,"An AI-generated image of a Victorian MP raises wider questions on digital ethics
By Joseph Dunstan and Mikaela Ortolan
Topic:Artificial Intelligence

Thu 1 Feb
Thursday 1 February
A composite image shows Georgie Purcell in two photos which appear identical except for changes to her clothing.
Nine News apologised to Ms Purcell after broadcasting the digitally altered image of her on its nightly news (left). (Nine News / Twitter)

Link copied

Share article
It was an image broadcast for just a few moments on a Melbourne TV news bulletin, but it's since attracted international attention.

The digitally altered image of Victorian Animal Justice Party MP Georgie Purcell used to introduce a story on Victorian duck hunting saw the white dress she was wearing in the original photo swapped for a top exposing her midriff.

""Note the enlarged boobs and outfit to be made more revealing. Can't imagine this happening to a male MP,"" she tweeted.

After Ms Purcell called it out, media outlets including CNN and the BBC picked up the story, fuelling debate on the reach of generative artificial intelligence in our lives.

In its swift apology to Ms Purcell, broadcaster Nine News said the alteration had occurred due to an ""automation by Photoshop"" while resizing the original photo.

Ms Purcell says she's not sure she buys Nine's explanation but is happy to move on, provided a lesson is learnt by everyone to ensure it never happens again.

So how might the image have been made and what lessons should we take from it?

Expert says Nine's explanation is plausible
Nine News has told the ABC the alteration to Ms Purcell's midriff occurred when using Adobe Photoshop's ""generative expand"" tool.

The tool allows users to make an image bigger — the program uses AI to make assumptions or guesses about how that image might be best filled out with new material.

Nine said the image it used to produce the graphic was a more tightly cropped version of the Bendigo Advertiser's photo of Ms Purcell.

This image appears in some online image searches, and is cropped above Ms Purcell's waist.

Georgie Purcell stands in front of a river.
Nine News says this version of the photo, which is cropped higher than the original, was the version ingested into its system. (Bendigo Advertiser)

When that image was dragged downwards using the expand tool, the generated image exposing her midriff was created, according to Nine.

This was the image later incorporated into a graphic used in the network's coverage of debate over the future of duck hunting in Victoria.

Adobe released a statement saying edits to the image in question ""would have required human intervention and approval"".

A image of a TV news anchor and a graphic of duck hunting.
This graphic, including the altered image of Ms Purcell, appeared briefly before Nine News's TV report on duck hunting on Monday. (Nine News)

TJ Thomson, a senior lecturer in digital media at RMIT, said it was plausible that a cropped image could produce a range of different torsos when expanded using AI.

""If you are giving Photoshop less data about the body … it has to imagine a lot more about what's below the torso,"" he said.

""So it can have a lot more creative input into what is below the torso.""

To demonstrate the tool in question, we uploaded a photo of a consenting ABC employee to Photoshop, cut off just above the chin.

When the program was presented with the image and asked to perform the ""generative expand"" action, it produced several variants of the torso.

An AI-generated image of a man, with three alternative torsos. His face is blurred.
An image of a man created with AI generation below the neck, creating three alternative torsos.  (ABC News)

The clothing in each torso differed, including a buttoned-up shirt and one with several of the top buttons undone.

In one version, the program appeared to struggle to generate the hands, presenting a jumble of fingers at the end of the man's arms.

How a 'vast library' of images informs generative AI
Technology researcher Shaanan Cohney, who lectures at the University of Melbourne's Centre for AI and Digital Ethics, said Photoshop's generative fill tool was able to create new material for an image by drawing on a ""vast library of stock images"".

""Now, Adobe claims to have done this in a way that reduces the bias in the images out there,"" Dr Cohney said.

""But without more information, it's very hard for us to know what kinds of stereotypes might be in that information.""

Dr Thomson said we could infer that many generative AI tools trawled the web to draw on images from films and pop culture, creating results that reinforced the biases present in society.

""If we look at our own landscape in terms of cinema or stock photography, often we see very biased and under-representative images and movies,"" he said.

TJ Thomson standing in front of a blurry background with a large green plant.
TJ Thomson says AI was being used as a tool to spread misinformation. (Supplied: Anthony Weate)

""Quite white-dominated, quite middle-aged or younger, not a lot of old folks, not a lot of people with disabilities.

""And so all those biases then are reproduced or enhanced sometimes with AI, if you're not particularly prompting to try to get the more diverse representation.""

In a statement, an Adobe spokesperson said the company was committed to principles of accountability, responsibility and transparency when developing its AI products.

""Generative Fill and Generative Expand in Photoshop is powered by Adobe Firefly, Adobe's family of creative generative AI models, which is trained on the highest quality of assets including Adobe Stock images, openly license content and public domain content where copyright has expired,"" they said.

'Sexualised' images of women are training AI, researchers warn
When Ms Purcell saw her photoshopped body displayed on the TV, she said it was deeply upsetting.

""I don't think there's a single young person that hasn't struggled with their body image, and seeing your own body altered on TV is very confronting,"" she said.

""This has affected me in some way, and it could affect other women even more. It should never happen again.""

Walkley-award winning journalist Tracey Spicer said when she heard about Ms Purcell's experience she was ""horrified, but not surprised"".

Tracey Spicer speaks to ABC News
Tracey Spicer says media companies have an obligation to better train staff. (ABC News: Jerry Rickard)

Spicer, who recently authored a book examining the rise of artificial intelligence, said generative AI ""routinely sexualises images of women and girls"".

""In fact, while designing the cover for my book, we put in prompts to design an image of a strong robot woman looking to the future with hope but concern,"" Spicer said.

""[The AI generator] instead created an image of a sexy gold robot with huge breasts and a tiny waist.""

Spicer also backed a warning from the Victorian Women's Trust that the community was on ""the verge of a tsunami"" when it came to the weaponisation of AI against women.

Singer and songwriter Taylor Swift was the latest high-profile woman to be attacked using AI, after pornographic deepfake images were circulated online.

Taylor Swift, wearing a purple dress, poses for a photo.
A sexually explicit image of Taylor Swift that was AI generated was viewed 47 million times before the account was suspended. (Reuters: Steve Marcus)

Spicer said as technology became freer and easier to use, its potential to be abused was growing.

""Frankly, it's terrifying,"" she said.

""Many victim-survivors of this kind of abuse say it's like being physically, sexually assaulted.""

New York University data journalism researcher Meredith Broussard said the doctored image of Ms Purcell was an important reminder that AI ""keeps failing and screwing up"" in a range of ways and human intervention was critical.

A woman with curly hair and hoop earrings stands in front of a bookshelf smiling.
New York University data journalism researcher Meredith Broussard says we must interrogate AI's assumptions. (Supplied: Devin Curry)

""It's a lesson in why we shouldn't necessarily trust the defaults in artificial intelligence,"" she said.

""People think that AI is going to be somehow superior to humans and that's simply not the case.""

In Ms Purcell's case, Dr Broussard said the person operating the program that generated the altered image should have spotted the changes and opted not to use that image.

'Major harms' occurring due to racial biases
In the United States, Dr Broussard said there were several examples of ""major harms"" being carried out against people as a result.

""Facial recognition systems tend to be better at recognising light skin than dark skin, they tend to be better at recognising men than recognising women, they tend to not take trans and non-binary folks into account at all,"" she said.

""And so when facial recognition is used in policing, for example, it is disproportionately weaponised against communities of colour.""

A man looks at a demonstration on a big screen of software tracking the movement of people.
Consumer group CHOICE raised concerns some retailers were using facial recognition technology without the knowledge of customers. (Reuters: Thomas Peter)

Dr Thomson said it was also clear that AI was being used as a tool to spread misinformation.

""People are using these tools to make photorealistic generations that can deceive people or mislead people,"" he said.

""We're seeing that happening in the Hamas, Israel conflict and multiple other contexts,"" he said.

In Australia, retail giants Bunnings and Kmart are being investigated over their use of facial recognition technology in stores, amid privacy concerns.

Media companies urged to offer AI training
So where does this leave the media with its use of AI?

Dr Thomson said there were a range of different approaches being taken by outlets around the world.

Think you can spot content written by AI?
Photo shows Conceptual image of a robot office workerConceptual image of a robot office worker
You may not have heard of GPT-3, but there's a good chance you've read its work, used a website that runs its code, or even conversed with it through a chatbot or a character in a game.

""The majority of folks I've talked to are most comfortable using these tools for things like illustrations, things that are definitely not photorealistic, where you don't have the potential to mislead or deceive,"" he said.

""If you're doing a story on mental health or COVID, or that kind of thing, and you have some clearly illustrated image, that's AI-generated, that's the kind of test case or use case that photo editors feel most comfortable using.

""Some outlets are a bit more conservative, saying we're only going to use AI-generated images when we're reporting on AI-generated images that have gone viral, for example.""

At the ABC, there is a policy not to use generative AI images in place of real images in news reporting.

If one is used, it must be clearly labelled — as we've done in this story.

Spicer said media companies had an obligation to better train staff.

""Issues like this will only deepen the public's scepticism about journalism. That's the last thing we need, at a time when democracy is under threat,"" she said.

""There are things that journalists and media organisations can be doing right now. Staff should be trained in how to use AI safely and ethically.""

Calls for greater regulation in Australia
Several experts agree greater regulation of AI is needed — particularly in Australia.

In January, the Australian government unveiled plans to target some high-risk AI technologies with audits and safeguards — but Dr Thomson said more was needed to ""catch up"" with the rest of the world.

""Australia has been called kind of the back of the pack in terms of AI regulation,"" Dr Thomson said.

We asked an AI tool to 'paint' images of Australia. Critics say they're good enough to sell
Photo shows A painting of a couple embracing at a beachA painting of a couple embracing at a beach
Computer programs, trained on the internet and only invented this year have created these artworks based on a few text prompts.

In December, the European Union passed the world's first AI law, which paved the way for legal oversight of technology used in popular generative AI services.

In the United States, President Joe Biden made a major effort to regulate artificial intelligence under a new executive order where AI developers would need to risk-test their tools and share the results with the US government.

On Wednesday, Australian Securities and Investments Commission chair Joe Longo warned existing laws did not adequately prevent ""AI-facilitated harms"" before they occurred and further ""transparency and oversight"" may be needed.

Another idea flagged by the federal government is tagging AI-generated images with a watermark or in another way that ensures people seeing them are aware of how they've been made.

For its part, Adobe said that was an idea the company supported, likening it to health advice included on food packaging.

""We are working with customers and partners to enable content credentials — which are ""nutrition labels"" for digital content, that remain associated with content wherever it is used, published or stored,"" a spokesperson said.

A view over a person's shoulder as they look at a digitally altered image of a politician.
Researchers say better AI literacy across the community will become increasingly important as the technology expands. (ABC News: Gabriela Rahardja)

Dr Cohney said even with legal obligations, ""ethical norms"" and ""AI literacy"" in the community would be critical as the technology's use expanded.

Even if we have the perfect set of laws, they still won't catch every example of people not using them appropriately,"" he said.

""So we need to think about the way we train people, whether that be in the media, or whether they be working in another industry, to use AI in an ethical fashion.""",s
18,Why Ethical AI Must Be A Leadership Priority,https://www.forbes.com/sites/jonathanreichental/2024/05/22/why-ethical-ai-must-be-a-leadership-priority/,Ned,News Article,"Why Ethical AI Must Be A Leadership Priority
Jonathan Reichental, PhD
Contributor
I write about the role of technology in business and society.

Just because we can do something with artificial intelligence doesn't mean we should do it.GETTY
42 percent of companies are using artificial intelligence (AI) and an additional 40 percent are exploring uses, reports IBM. To underestimate AI value and delay adoption may be an existential risk for many organizations. Equally, embracing it too quickly without adequate attention paid to matters such as fairness, privacy, and accountability risks unpredictable negative consequences. Rather than an afterthought, the journey to broad AI adoption must include ethical AI: the implementation and management of AI solutions that prioritize responsible uses and reduced risks for all stakeholders.

Preparing For Revolutionary Change
The rapid progress of AI and its transformational impact on all aspects of business operations is nothing short of revolutionary. The remarkable speed at which AI is developing has all the characteristics of a change without historic parallel. Much like recent transformational technologies such as the Internet and smartphones, AI will join and perhaps outpace them as a new context for reinvention.

There’s a lot to be excited about, but poor moves early in any adoption have the potential to derail efforts or worse still, be a destructive force both to the organization and society. Producing output with absent or misguided rules, for example, can produce reputational risks and embarrassing results.

Specifically, generative AI relies heavily on vast quantities of historical data harvested from across the public Web and other accessible repositories. This data coupled with algorithms shapes what AI produces. If either one or both are mismanaged, the negative consequences are all too real.

Suddenly good intentions produce novel and unintended issues of fairness, discrimination, trust, privacy, transparency, and more. AI raises complex questions about its appropriate use with many still largely unanswered. To proactively mitigate unwanted outcomes including legal risks requires an ethical approach to AI.

The Role Of Ethical AI
The purpose of ethical AI is to support the responsible design and development of AI solutions that protect individuals, groups, and society, from harm. To succeed requires a combination of efforts that include computer science, policy implementation, and governance. Importantly, it must be a leadership priority.

Organizations will be best served by treating ethical AI not as a nice-to-have, but rather, an essential part of their AI efforts. Diligence can help protect the business, enable greater confidence in deployments, and assist with compliance with existing or future requirements. In fact, an increasing volume of national and international laws and regulations will make aspects of ethical AI required for organizations. Business leaders must become aware of their current obligations and be on top of developments as they emerge.

Steps Organizations Can Take Now
For organizations just beginning their AI journey, knowing where to begin with ethical AI can seem overwhelming. It can be perceived as an unwelcome effort that will slow or even disincentivize innovation. Despite these concerns, the benefits of ethical AI will eventually easily outweigh them.

It’s never too soon to begin implementing an approach to ethical AI and that includes those well into their AI developments and deployments. Here are three ways that all types of businesses can begin to increase their responsible use of AI.

Establish AI principles and standards: Identify what is most important to the organization, customers, products, and services, and use those to guide decisions.
Implement AI policies and procedures: Clearly outline how the organization will implement and enforce its principles and standards.
Create an AI governance capacity: Define how the organization will provide ongoing oversight for AI activities including monitoring efforts, providing training, and continuous improvement.
For too many, implementing ethical AI may not be a top-of-mind priority today, but it must become one. Leaders need to be convinced that doing the right thing with AI will get the right outcomes.

Creating and implementing a viable approach to ethical AI offers the best chance of avoiding significant issues. Without ethical AI, organizations may think they are moving in the fast lane only to wake up and find they are operating in the wrong lane.",
19,Your newsroom needs an AI ethics policy. Start here.,https://www.poynter.org/ethics-trust/2024/how-to-create-newsroom-artificial-intelligence-ethics-policy/,Ned,News Article,,
20,The Ethical Dilemma Of AI In Marketing: A Slippery Slope,https://forbes.com/sites/elijahclark/2024/03/14/the-ethical-dilemma-of-ai-in-marketing-a-slippery-slope/,Ned,News Article,,
